Resume,Category
Python SQL Data Analysis Machine Learning Pandas,Data Analyst
Python Data Visualization Power BI Tableau SQL,Data Analyst
Java Spring Hibernate REST API SQL,Software Engineer
Java OOPS Data Structures Algorithms,Software Engineer
HTML CSS JavaScript React Bootstrap,Web Developer
HTML CSS JavaScript Angular,Web Developer
Python Machine Learning NLP TensorFlow,ML Engineer
Python Scikit-learn Pandas Model Training,ML Engineer
Recruitment Payroll HR Management Communication,HR
Employee Engagement Talent Acquisition HR Policies,HR
Linux AWS Cloud Computing EC2 S3 IAM,Cloud Engineer
AWS DevOps Docker Kubernetes CI CD,Cloud Engineer
